date,Climate Change,Impact,Business,Global Warming,Entertainment
2011-08-23,0,0,0,0,0
2011-08-24,0,0,0,0,0
2011-08-25,0,0,0,0,0
2011-08-26,0,0,0,0,0
2011-08-27,2,1,0,2,0
2011-08-28,1,7,0,0,0
2011-08-29,0,3,0,0,0
2011-08-30,0,3,0,0,0
2011-08-31,0,0,0,0,0
2011-09-01,0,1,0,0,0
2011-09-02,0,0,0,0,0
2011-09-03,0,2,0,0,0
2011-09-04,0,1,0,0,0
2011-09-05,0,0,0,0,0
2011-09-06,0,0,0,0,0
2011-09-07,0,0,0,0,0
2011-09-08,0,1,0,0,0
2011-09-09,0,0,0,0,0
2011-09-10,0,0,0,0,0
2011-09-11,0,1,0,0,0
2011-09-12,0,0,0,0,0
2011-09-13,0,0,0,0,0
2011-09-14,0,0,0,0,0
2011-09-15,0,0,0,0,0
2011-09-16,0,0,0,0,0
2011-09-17,0,0,0,0,0
2011-09-18,0,0,0,0,0
2011-09-19,0,0,0,1,0
2011-09-20,0,0,0,0,0
2011-09-21,0,0,0,0,0
2011-09-22,0,1,0,0,0
2011-09-23,0,0,0,0,0
2011-09-24,0,0,0,0,0
2011-09-25,0,0,0,0,0
2011-09-26,0,0,0,0,0
2011-09-28,0,0,0,0,0
2011-09-29,0,0,0,0,0
2011-09-30,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-10-02,0,0,0,0,0
2011-10-03,0,0,0,0,0
2011-10-04,0,0,0,0,0
2011-10-06,0,0,0,0,0
2011-10-09,0,0,0,0,0
2011-10-10,0,0,0,0,0
2011-10-13,0,0,0,0,0
2011-10-14,0,0,0,0,0
2011-10-17,0,0,0,0,0
2011-10-18,0,0,0,0,0
2011-10-21,0,0,0,0,0
2011-10-22,0,0,1,0,0
2011-10-24,0,0,0,0,0
2011-10-28,0,0,0,0,0
2011-10-29,0,0,0,0,0
2011-10-30,0,0,0,0,0
2011-10-31,0,0,0,0,0
2011-11-04,0,0,0,0,0
2011-11-05,0,0,0,0,0
2011-11-07,0,0,0,0,0
2011-11-08,0,0,2,0,0
2011-11-09,0,0,0,0,0
2011-11-10,0,0,0,0,0
2011-11-13,0,0,0,0,0
2011-11-15,0,0,0,0,0
2011-11-16,0,0,0,0,0
2011-11-17,1,0,0,0,0
2011-11-18,0,0,0,0,0
2011-11-20,0,0,0,0,0
2011-11-21,0,0,0,0,0
2011-11-29,0,0,0,0,0
2011-12-01,0,0,0,0,0
2011-12-02,0,0,0,0,0
2011-12-03,0,0,0,0,0
2011-12-06,0,0,0,0,0
2011-12-14,0,0,0,0,0
2011-12-16,0,0,0,0,0
2011-12-19,0,0,0,0,0
2011-12-23,0,0,0,0,0
2011-12-25,0,0,0,0,0
2011-12-30,0,1,0,0,0
2017-06-06,0,0,0,0,0
2017-06-23,0,0,0,0,0
2017-07-20,0,0,0,0,0
2017-07-21,0,0,0,0,0
2017-08-17,0,0,0,0,0
2017-08-23,0,0,0,0,0
2017-08-24,0,0,0,0,0
2017-08-25,1,2,0,0,0
2017-08-26,0,3,0,0,0
2017-08-27,0,2,0,0,0
2017-08-28,1,6,0,0,0
2017-08-29,2,1,0,0,0
2017-08-30,0,0,0,0,0
2017-09-01,0,2,0,0,0
2017-09-02,1,1,0,0,0
2017-09-03,0,1,0,0,0
2017-09-04,0,0,0,0,0
2017-09-05,0,1,0,0,0
2017-09-06,0,2,0,0,0
2017-09-07,1,4,0,0,0
2017-09-08,0,2,0,0,0
2017-09-09,2,0,0,0,0
2017-09-10,0,0,0,0,0
2017-09-11,3,1,0,0,0
2017-09-12,2,2,0,0,0
2017-09-13,0,0,0,0,0
2017-09-14,2,4,0,0,0
2017-09-15,1,0,0,0,0
2017-09-16,0,0,0,0,0
2017-09-17,0,1,0,0,0
2017-09-18,1,0,0,0,0
2017-09-19,2,3,0,0,0
2017-09-20,0,0,0,0,0
2017-09-21,0,4,0,0,0
2017-09-22,1,0,0,0,0
2017-09-23,0,0,0,0,0
2017-09-24,0,0,0,0,0
2017-09-25,0,0,0,0,0
2017-09-26,0,0,0,0,0
2017-09-27,0,0,0,0,0
2017-09-28,0,0,0,0,0
2017-09-29,0,0,0,0,0
2017-10-01,0,0,0,0,0
2017-10-02,0,0,0,0,0
2017-10-03,0,0,0,0,0
2017-10-04,0,0,0,0,0
2017-10-05,0,0,0,0,0
2017-10-06,0,0,0,0,0
2017-10-07,0,0,0,0,0
2017-10-08,0,0,0,0,0
2017-10-09,0,0,0,0,0
2017-10-10,0,0,0,0,0
2017-10-11,0,0,0,0,0
2017-10-12,0,0,0,0,0
2017-10-13,0,0,0,0,0
2017-10-14,0,0,0,0,0
2017-10-15,0,0,0,0,0
2017-10-16,0,0,0,0,0
2017-10-17,0,0,0,0,0
2017-10-18,0,0,0,0,0
2017-10-19,0,0,0,0,0
2017-10-20,0,0,0,0,0
2017-10-21,0,0,0,0,0
2017-10-22,0,0,0,0,0
2017-10-23,0,0,0,0,0
2017-10-24,1,0,0,0,0
2017-10-25,0,0,0,0,0
2017-10-26,0,0,3,0,0
2017-10-27,0,0,0,0,0
2017-10-28,0,0,0,0,0
2017-10-29,0,0,0,0,0
2017-10-30,0,0,0,0,0
2017-11-01,0,0,0,0,0
2017-11-02,0,0,0,0,0
2017-11-03,0,0,0,0,0
2017-11-04,0,0,0,0,0
2017-11-05,0,0,0,0,0
2017-11-06,0,0,0,0,0
2017-11-07,1,0,0,0,0
2017-11-08,0,0,0,0,0
2017-11-09,3,0,0,0,0
2017-11-10,0,0,1,0,0
2017-11-11,0,0,0,0,0
2017-11-12,0,0,0,0,0
2017-11-13,0,1,0,0,0
2017-11-14,0,0,0,0,0
2017-11-15,0,0,0,0,0
2017-11-16,0,0,0,0,0
2017-11-17,0,0,0,0,0
2017-11-19,0,0,0,0,0
2017-11-20,0,0,0,0,0
2017-11-21,0,0,0,0,0
2017-11-22,0,0,0,0,0
2017-11-24,0,0,0,0,0
2017-11-25,0,0,0,0,0
2017-11-26,0,0,0,0,0
2017-11-27,0,0,0,0,0
2017-11-28,0,0,0,0,0
2017-11-29,0,0,0,0,0
2017-12-01,0,0,0,0,0
2017-12-02,0,0,0,0,0
2017-12-03,0,0,0,0,0
2017-12-04,1,0,0,0,0
2017-12-06,0,0,0,0,0
2017-12-07,0,0,0,0,0
2017-12-08,0,0,0,0,0
2017-12-09,0,0,0,0,0
2017-12-10,0,0,0,0,0
2017-12-11,0,0,0,0,0
2017-12-12,0,0,0,0,0
2017-12-13,3,1,0,1,0
2017-12-14,0,0,0,0,0
2017-12-16,0,0,0,0,0
2017-12-17,0,0,0,0,0
2017-12-18,0,0,0,0,0
2017-12-19,0,0,0,0,0
2017-12-20,0,0,0,0,0
2017-12-21,0,0,0,0,0
2017-12-22,0,0,0,0,0
2017-12-23,0,0,0,0,0
2017-12-26,0,0,0,0,0
2017-12-27,0,0,0,0,0
2017-12-28,0,0,0,0,0
2017-12-29,1,0,0,1,0
2017-12-30,0,0,0,0,0
